,Unnamed: 0,ID,Cli_FB_eng,Cli_TW_eng,Cli_articlecount,Top_FB_eng,Top_TW_eng,Top_articlecount,date_time,Pro_FB_eng,Pro_TW_eng,Mean_Cli_TW_eng,Mean_Cli_FB_eng
46,46,47,58535750,2132264,127410,1209061321.0,29758915.0,160129.0,2020-11-01,0.04841421107705752,0.07165126819979828,16.735452476257752,459.42822384428223
47,47,48,47954267,1538546,117952,1138356854.0,25918925.0,163506.0,2020-12-01,0.042125864865219145,0.059359946448396296,13.043831389039608,406.55747253119915
48,48,49,16985982,342055,26339,1479151178.0,35572088.0,162028.0,2021-01-01,0.011483601035944955,0.00961582575641891,12.986635787235658,644.8985155093208
49,49,50,13005749,323868,22104,1041956493.0,20040010.0,148025.0,2021-02-01,0.012482046119367098,0.0161610697799053,14.65200868621064,588.3889341295693
50,50,51,5228439,186412,23734,814066387.0,17408182.0,165666.0,2021-03-01,0.006422619928170551,0.010708297971608983,7.854217578157917,220.29320805595347
51,51,52,7176914,262352,43570,713239113.0,12416358.0,158424.0,2021-04-01,0.010062423483497321,0.02112954539487344,6.021390865274271,164.72145971999083
52,52,53,3525360,175783,23116,673089303.0,17158752.0,163664.0,2021-05-01,0.00523758137930176,0.010244509624009952,7.604386572071292,152.50735421353176
53,53,54,4615468,249772,23802,643398780.0,16419664.0,159763.0,2021-06-01,0.007173572819022131,0.015211760727868732,10.493740021846904,193.910931854466
54,54,55,3179595,274698,26005,533666411.0,16694624.0,163779.0,2021-07-01,0.005958019718801452,0.016454278934344372,10.563276293020573,122.26860219188617
55,55,56,3102619,322105,31562,618965198.0,23836412.0,169359.0,2021-08-01,0.005012590384766673,0.013513149546164917,10.205468601482796,98.30235726506558
56,56,57,2774003,330703,57852,480207905.0,19835265.0,165795.0,2021-09-01,0.0057766708359371964,0.016672477025136797,5.716362442093618,47.94999308580516
57,57,58,3506823,460122,89788,445546401.0,18691167.0,170409.0,2021-10-01,0.007870836779579329,0.02461708249677508,5.124537800151468,39.05670022720185
58,58,59,4865074,433886,100201,531247362.0,16741341.0,165960.0,2021-11-01,0.009157831827501855,0.025917039740125956,4.3301563856648135,48.55314817217393
59,59,60,2115962,180342,35239,589865925.0,14092596.0,165087.0,2021-12-01,0.0035871914452424085,0.012796932516904622,5.117682113567354,60.04602854791566
60,60,61,1746055,147612,38916,,,,,,,3.7930928152944805,44.867278240312466
61,61,62,1924018,200551,35719,,,,,,,5.614686861334304,53.86539376802262
62,62,63,1629239,157018,33604,,,,,,,4.67259850017855,48.48348410903464
